id,country_id,place_id,name,city_url,url
17177,1,city_17177,Delhi Transit,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=17177,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=17177
5863,1,city_5863,Bulandshahr,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=5863,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=5863
419,1,city_419,Chandrapur,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=419,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=419
210,1,city_210,Kalimpong,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=210,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=210
858,1,city_858,Courtallam,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=858,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=858
862,1,city_862,Arakkonam,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=862,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=862
275,1,city_275,Sonipat,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=275,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=275
240,1,city_240,Kottayam,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=240,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=240
106,1,city_106,Chittorgarh,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=106,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=106
299,1,city_299,Patnitop,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=299,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=299
86,1,city_86,Baddi,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=86,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=86
136,1,city_136,Kumbakonam,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=136,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=136
6535,1,city_6535,Balugaon,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=6535,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=6535
5182,1,city_5182,Pathanamthitta,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=5182,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=5182
6,1,city_6,Manesar,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=6,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=6
169,1,city_169,Kaziranga,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=169,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=169
213,1,city_213,Kollam,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=213,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=213
156,1,city_156,Rohtak,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=156,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=156
114,1,city_114,Bathinda,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=114,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=114
318979,1,city_318979,Degana,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=318979,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=318979
934,1,city_934,Srinagar-Uttarakhand,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=934,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=934
595,1,city_595,Pratapgarh,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=595,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=595
543,1,city_543,Kullu,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=543,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=543
269,1,city_269,Pahalgam,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=269,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=269
160,1,city_160,Rudrapur,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=160,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=160
347,1,city_347,Tiruppur,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=347,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=347
147,1,city_147,Bodhgaya,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=147,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=147
89,1,city_89,Hubli-Dharwad,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=89,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=89
697,1,city_697,Khammam,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=697,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=697
469,1,city_469,Sibsagar,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=469,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=469
428,1,city_428,Bhagalpur,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=428,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=428
95,1,city_95,Trichy,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=95,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=95
118,1,city_118,Jammu,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=118,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=118
110,1,city_110,Gangtok,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=110,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=110
58,1,city_58,Warangal,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=58,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=58
142,1,city_142,Shillong,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=142,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=142
212,1,city_212,Udupi-Manipal,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=212,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=212
144,1,city_144,Bhilwara,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=144,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=144
157,1,city_157,Dalhousie,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=157,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=157
311,1,city_311,Port-Blair,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=311,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=311
168,1,city_168,Agartala,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=168,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=168
485,1,city_485,Berhampore,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=485,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=485
320,1,city_320,Palampur,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=320,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=320
437,1,city_437,Katni,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=437,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=437
190,1,city_190,Bareilly,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=190,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=190
21,1,city_21,Faridabad,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=21,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=21
397,1,city_397,Behrampur,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=397,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=397
12,1,city_12,Chennai,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=12,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=12
205,1,city_205,Orchha,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=205,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=205
270,1,city_270,Aligarh,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=270,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=270
81,1,city_81,Dharamshala,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=81,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=81
236,1,city_236,Guntur,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=236,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=236
80,1,city_80,Rajkot,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=80,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=80
271,1,city_271,Mohali,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=271,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=271
242,1,city_242,Katra,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=242,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=242
150,1,city_150,Anand,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=150,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=150
45,1,city_45,Vadodara,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=45,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=45
52,1,city_52,Amritsar,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=52,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=52
135,1,city_135,Srinagar,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=135,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=135
76,1,city_76,Coorg,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=76,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=76
